teamID,PJG,Salario_prom
KCA,46.52,1470645.59
MIN,48.98,1662150.06
CLE,49.87,1648258.28
CHA,50.67,2146572.04
DET,47.8,2306922.91
TOR,51.48,1928544.42
NYA,56.43,3982571.43
BAL,47.37,1955004.41
TBA,46.4,1661997.63
BOS,53.55,2845489.44
TEX,50.14,2022165.85
HOU,49.67,1752443.66
LAA,55.61,4216197.46
SEA,48.42,2072896.81
OAK,52.5,1425273.88
SLN,53.65,2145915.84
PIT,46.51,1221698.17
CHN,48.11,2301625.27
MIL,46.96,2295547.13
CIN,49.97,1757586.02
NYN,51.3,2432010.58
WAS,48.03,2751615.79
MIA,43.06,2539635.19
ATL,53.68,2243262.0
PHI,49.31,2346265.05
LAN,52.43,2704253.11
SFN,51.96,2315537.61
ARI,49.18,2510896.94
SDN,48.09,1470895.91
COL,46.64,2141184.48
